hero,win,win_rate,kda,count,pick,ban,other,pick_rate,ban_rate,other_rate
Witch Doctor,35,0.555555556,2.28617487,63,63,21,317,0.157107232,0.052369077,0.790523691
Oracle,12,0.48,3.2491443,25,25,7,369,0.06234414,0.017456359,0.920199501
Dragon Knight,33,0.515625,4.993690814,64,64,62,275,0.159600998,0.154613466,0.685785536
Broodmother,15,0.6,6.182,25,25,116,260,0.06234414,0.289276808,0.648379052
Jakiro,20,0.454545455,1.936604776,44,44,12,345,0.109725686,0.029925187,0.860349127
Troll Warlord,6,0.375,3.904513889,16,16,13,372,0.039900249,0.032418953,0.927680798
Centaur Warrunner,5,0.384615385,2.687687313,13,13,6,382,0.032418953,0.014962594,0.952618454
Leshrac,23,0.425925926,2.65071482,54,54,20,327,0.134663342,0.049875312,0.815461347
Spirit Breaker,5,0.833333333,4.144823232,6,6,4,391,0.014962594,0.009975062,0.975062344
Medusa,8,0.5,6.512797619,16,16,15,370,0.039900249,0.037406484,0.922693267
Meepo,5,1,4.047619048,5,5,22,374,0.012468828,0.054862843,0.932668329
Keeper of the Light,5,0.833333333,2.881944444,6,6,3,392,0.014962594,0.007481297,0.97755611
Tinker,5,0.416666667,4.600198413,12,12,25,364,0.029925187,0.06234414,0.907730673
Shadow Fiend,9,0.529411765,3.848272642,17,17,19,365,0.042394015,0.047381546,0.910224439
Nyx Assassin,19,0.633333333,2.463186628,30,30,30,341,0.074812968,0.074812968,0.850374065
Abaddon,3,0.6,2.367272727,5,5,2,394,0.012468828,0.004987531,0.982543641
Visage,6,0.3,3.074484127,20,20,66,315,0.049875312,0.164588529,0.78553616
Faceless Void,19,0.59375,5.351488095,32,32,47,322,0.079800499,0.117206983,0.802992519
Juggernaut,4,0.571428571,6.614285714,7,7,9,385,0.017456359,0.02244389,0.960099751
Riki,1,0.333333333,2.477777778,3,3,1,397,0.007481297,0.002493766,0.990024938
Puck,2,0.222222222,2.987942613,9,9,5,387,0.02244389,0.012468828,0.965087282
Razor,6,0.545454545,4.209090909,11,11,6,384,0.027431421,0.014962594,0.957605985
Pangolier,15,0.405405405,5.120716521,37,37,27,337,0.092269327,0.067331671,0.840399002
Shadow Demon,8,0.380952381,2.9253848,21,21,5,375,0.052369077,0.012468828,0.935162095
Shadow Shaman,8,0.533333333,2.127532468,15,15,10,376,0.037406484,0.024937656,0.93765586
Legion Commander,4,0.307692308,2.20042735,13,13,10,378,0.032418953,0.024937656,0.942643392
Pudge,4,0.666666667,2.927645503,6,6,1,394,0.014962594,0.002493766,0.982543641
Bounty Hunter,4,0.444444444,3.081734007,9,9,15,377,0.02244389,0.037406484,0.940149626
Queen of Pain,5,0.384615385,5.039010989,13,13,10,378,0.032418953,0.024937656,0.942643392
Phantom Assassin,6,0.461538462,4.409021534,13,13,7,381,0.032418953,0.017456359,0.950124688
Lone Druid,7,0.7,4.279047619,10,10,25,366,0.024937656,0.06234414,0.912718204
Anti-Mage,2,0.25,1.462824675,8,8,5,388,0.019950125,0.012468828,0.967581047
Sniper,0,0,1.333333333,1,1,0,400,0.002493766,0,0.997506234
Dark Seer,6,0.5,3.845734127,12,12,6,383,0.029925187,0.014962594,0.955112219
Bristleback,7,0.7,5.521666667,10,10,17,374,0.024937656,0.042394015,0.932668329
Outworld Devourer,0,0,1,3,3,8,390,0.007481297,0.019950125,0.972568579
Night Stalker,15,0.375,4.486993146,40,40,81,280,0.099750623,0.201995012,0.698254364
Ancient Apparition,2,0.5,3.791666667,4,4,2,395,0.009975062,0.004987531,0.985037406
Omniknight,5,0.384615385,2.450641026,13,13,29,359,0.032418953,0.072319202,0.895261845
Lifestealer,10,0.384615385,4.083348596,26,26,28,347,0.064837905,0.069825436,0.865336658
Death Prophet,17,0.5,5.489180672,34,34,41,326,0.08478803,0.102244389,0.812967581
Sven,2,0.666666667,3.948148148,3,3,3,395,0.007481297,0.007481297,0.985037406
Tidehunter,5,0.625,5.725,8,8,7,386,0.019950125,0.017456359,0.962593516
Dazzle,1,0.333333333,2.055555556,3,3,0,398,0.007481297,0,0.992518703
Slardar,5,0.5,2.536785714,10,10,0,391,0.024937656,0,0.975062344
Slark,9,0.473684211,5.834620643,19,19,31,351,0.047381546,0.077306733,0.875311721
Techies,nan,nan,nan,0,0,2,399,0,0.004987531,0.995012469
Grimstroke,nan,nan,nan,0,0,0,401,0,0,1
